Model_Size,Method,Conversation_Setting,Run,Accuracy,Weighted_F1,Macro_F1,Binary_F1,Binary_Recall,Binary_Precision,Turn_Level_SBERT,Trajectory_SBERT,Post_Clarification_SBERT,Post_Clarification_Count
3B,ORPO,100,1,0.61923077,0.57122154,0.57122154,0.42774566,0.28461538,0.86046512,0.67176785,0.70354127,0.26704931,43
3B,ORPO,100,2,0.61538462,0.56813501,0.56813501,0.42528736,0.28461538,0.84090909,0.67404814,0.70251930,0.26565847,44
3B,ORPO,100,3,0.61153846,0.55997922,0.55997922,0.40935673,0.26923077,0.85365854,0.67448288,0.69102900,0.18624614,41
3B,ORPO,100,4,0.62307692,0.57677231,0.57677231,0.43678161,0.29230769,0.86363636,0.67048180,0.67907895,0.20963804,44
3B,ORPO,100,5,0.61923077,0.56869250,0.56869250,0.42105263,0.27692308,0.87804878,0.67089168,0.70714702,0.29376211,41
3B,ORPO,150,1,0.64230769,0.61348487,0.61348487,0.50793651,0.36923077,0.81355932,0.68290870,0.68337277,0.30157206,59
3B,ORPO,150,2,0.63076923,0.60365854,0.60365854,0.50000000,0.36923077,0.77419355,0.67556212,0.67564582,0.28542788,62
3B,ORPO,150,3,0.62307692,0.59362041,0.59362041,0.48421053,0.35384615,0.76666667,0.67838087,0.68011496,0.31156448,60
3B,ORPO,150,4,0.64615385,0.61676493,0.61676493,0.51063830,0.36923077,0.82758621,0.67941498,0.67871078,0.26955453,58
3B,ORPO,150,5,0.63461538,0.60334666,0.60334666,0.49197861,0.35384615,0.80701754,0.67705177,0.69184370,0.31634651,57
